"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"M&M","Mahindra & Mahindra Limited","7(2)","Nozar Bharucha","Employees/Designated Employees","Equity Shares","19836","0",,"3500","11045825","Buy","Equity Shares","23336","0","15-Oct-2024","15-Oct-2024","16-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","16-Oct-2024 16:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172539_1272482_16102024040644_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Vinay Khanolkar","Employees/Designated Employees","Equity Shares","14068","0",,"800","2524760","Buy","Equity Shares","14868","0","15-Oct-2024","15-Oct-2024","16-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","16-Oct-2024 16:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172539_1272482_16102024040644_WEB.xml"
"LLOYDSME","Lloyds Metals And Energy Limited","7(2)","Thriveni Earthmovers Private Limited","Promoters","Equity Shares","100005501","19.13",,"657428","646580438","Pledge Revoke","Equity Shares","100005501","19.13","14-Oct-2024","14-Oct-2024","16-Oct-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","16-Oct-2024 13:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172535_1271949_16102024011317_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Chandrakant Dhande","Employees/Designated Employees","Equity Shares","28805","0",,"532","1678965","Buy","Equity Shares","29337","0","15-Oct-2024","15-Oct-2024","15-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","15-Oct-2024 20:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172532_1271303_15102024081106_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mahindra & Mahindra Employees' Stock Option Trust","Other","Equity Shares","43566014","3.5",,"44055","212905","Sell","Equity Shares","43521959","3.5","15-Oct-2024","15-Oct-2024","15-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","15-Oct-2024 20:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172532_1271303_15102024081106_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Nidhi Seksaria","Employees/Designated Employees","Equity Shares","Nil","0",,"2832","8937650","Buy","Equity Shares","2832","0","15-Oct-2024","15-Oct-2024","15-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","15-Oct-2024 20:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172532_1271303_15102024081106_WEB.xml"
"TECHIN","Techindia Nirman Limited","7(2)","TINGLI FINVEST PRIVATE LIMITED","Promoter Group","Equity Shares","225939","1.18",,"55000","1858225","Sell","Equity Shares","170939","1.19","20-Aug-2024","28-Aug-2024","14-Oct-2024","Market Sale","-","-","0","0","0","0","NSE","-","15-Oct-2024 15:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172530_1270088_15102024032133_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Susmitha Sam Thomas","Employees/Designated Employees","Equity Shares","10976","0.01",,"999","7155125","Pledge Revoke","Equity Shares","10976","0.01","01-Oct-2024","01-Oct-2024","14-Oct-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","15-Oct-2024 13:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172528_1269825_15102024014855_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","281589","0.22",,"2296","22960","Sell","Equity Shares","279293","0.22","09-Oct-2024","09-Oct-2024","11-Oct-2024","ESOP","-","-","0","0","0","0","NA","-","15-Oct-2024 13:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172528_1269825_15102024014855_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Susmitha Sam Thomas","Employees/Designated Employees","Equity Shares","10976","0.01",,"1000","3974373","Pledge","Equity Shares","10976","0.01","24-Jul-2021","24-Jul-2021","14-Oct-2024","Pledge Creation","-","-","0","0","0","0","NA","-","15-Oct-2024 13:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172528_1269825_15102024014855_WEB.xml"
